,XGBoost,Random Forest,Histogram GBM,Extra Trees,Gradient Boost
Extractant Name,1,2,3,2,1
Extractant Conc,2,3,1,3,4
Extracted Name,3,4,4,4,5
ions picarate,4,1,2,1,2
Phenyl Rings,5,6,5,5,3
Upper Rim,6,5,7,6,7
Lower Rim,7,7,6,7,8
Extracted Conc,8,9,10,9,6
Methylene Bridge,9,8,11,10,9
Chemical Groups,10,10,8,11,10
Acid Molarity,11,12,9,8,12
ions dichloromethane,12,11,12,12,11
ion NO3(2-),13,13,13,13,13
