Number,Extractant,Extractant Name,Phenyl Rings,Upper Rim,Lower Rim,Methylene Bridge,Extracted Name,Extractant Conc,Extracted Conc,Spectator Ions,Chemical Groups,Acid Molarity,Extraction Efficiency
244,1a,,4,t-butyl,(CH2)(CO)(CH3),OCH2,Nd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,4.6
245,1a,,4,t-butyl,(CH2)(CO)(CH3),OCH2,Sm(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,4.5
246,1a,,4,t-butyl,(CH2)(CO)(CH3),OCH2,Eu(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5
247,1a,,4,t-butyl,(CH2)(CO)(CH3),OCH2,Gd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,4.4
248,1a,,4,t-butyl,(CH2)(CO)(CH3),OCH2,Dy(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.8
249,1a,,4,t-butyl,(CH2)(CO)(CH3),OCH2,Er(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.6
250,1a,,4,t-butyl,(CH2)(CO)(CH3),OCH2,Yb(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.1
251,1b,,4,t-butyl,(CH2)(CO)(t-butyl),OCH2,La(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,6.8
252,1b,,4,t-butyl,(CH2)(CO)(t-butyl),OCH2,Ce(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,6.4
253,1b,,4,t-butyl,(CH2)(CO)(t-butyl),OCH2,Pr(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,7.3
254,1b,,4,t-butyl,(CH2)(CO)(t-butyl),OCH2,Nd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,8.4
255,1b,,4,t-butyl,(CH2)(CO)(t-butyl),OCH2,Sm(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,12.3
256,1b,,4,t-butyl,(CH2)(CO)(t-butyl),OCH2,Eu(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,8.6
257,1b,,4,t-butyl,(CH2)(CO)(t-butyl),OCH2,Gd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,19.1
258,1b,,4,t-butyl,(CH2)(CO)(t-butyl),OCH2,Dy(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,7
259,1b,,4,t-butyl,(CH2)(CO)(t-butyl),OCH2,Er(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,11.6
260,1b,,4,t-butyl,(CH2)(CO)(t-butyl),OCH2,Yb(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,18
261,1c,,4,t-butyl,(CH2)(CO)(adamantyl),OCH2,La(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,9.3
262,1c,,4,t-butyl,(CH2)(CO)(adamantyl),OCH2,Ce(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,7.7
263,1c,,4,t-butyl,(CH2)(CO)(adamantyl),OCH2,Pr(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,6
264,1c,,4,t-butyl,(CH2)(CO)(adamantyl),OCH2,Nd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,8.9
265,1c,,4,t-butyl,(CH2)(CO)(adamantyl),OCH2,Sm(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,14
266,1c,,4,t-butyl,(CH2)(CO)(adamantyl),OCH2,Eu(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,7.4
267,1c,,4,t-butyl,(CH2)(CO)(adamantyl),OCH2,Gd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,23
268,1c,,4,t-butyl,(CH2)(CO)(adamantyl),OCH2,Dy(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,7.9
269,1c,,4,t-butyl,(CH2)(CO)(adamantyl),OCH2,Er(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,12
270,1c,,4,t-butyl,(CH2)(CO)(adamantyl),OCH2,Yb(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,21
271,1d,,4,t-butyl,(CH2)(CO)(phenyl),OCH2,La(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,8.9
272,1d,,4,t-butyl,(CH2)(CO)(phenyl),OCH2,Ce(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,6
273,1d,,4,t-butyl,(CH2)(CO)(phenyl),OCH2,Pr(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,6.7
274,1d,,4,t-butyl,(CH2)(CO)(phenyl),OCH2,Nd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,7.3
275,1d,,4,t-butyl,(CH2)(CO)(phenyl),OCH2,Sm(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,10.5
276,1d,,4,t-butyl,(CH2)(CO)(phenyl),OCH2,Eu(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.7
277,1d,,4,t-butyl,(CH2)(CO)(phenyl),OCH2,Gd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,13.4
278,1d,,4,t-butyl,(CH2)(CO)(phenyl),OCH2,Dy(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,7.5
279,1d,,4,t-butyl,(CH2)(CO)(phenyl),OCH2,Er(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,7.8
280,1d,,4,t-butyl,(CH2)(CO)(phenyl),OCH2,Yb(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,16
281,2a,,4,t-butyl,(CH2)(CO)(CH3),None,La(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.3
282,2a,,4,t-butyl,(CH2)(CO)(CH3),None,Ce(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.2
283,2a,,4,t-butyl,(CH2)(CO)(CH3),None,Pr(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.2
284,2a,,4,t-butyl,(CH2)(CO)(CH3),None,Nd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,6.2
285,2a,,4,t-butyl,(CH2)(CO)(CH3),None,Sm(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.6
286,2a,,4,t-butyl,(CH2)(CO)(CH3),None,Eu(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,4.9
287,2a,,4,t-butyl,(CH2)(CO)(CH3),None,Gd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,4.5
288,2a,,4,t-butyl,(CH2)(CO)(CH3),None,Dy(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.1
289,2a,,4,t-butyl,(CH2)(CO)(CH3),None,Er(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.9
290,2a,,4,t-butyl,(CH2)(CO)(CH3),None,Yb(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.3
291,2c,,4,t-butyl,(CH2)(CO)(adamantyl),None,La(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,6.8
292,2c,,4,t-butyl,(CH2)(CO)(adamantyl),None,Ce(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,6.3
293,2c,,4,t-butyl,(CH2)(CO)(adamantyl),None,Pr(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,4.5
294,2c,,4,t-butyl,(CH2)(CO)(adamantyl),None,Nd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.5
295,2c,,4,t-butyl,(CH2)(CO)(adamantyl),None,Sm(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,6.4
296,2c,,4,t-butyl,(CH2)(CO)(adamantyl),None,Eu(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5
297,2c,,4,t-butyl,(CH2)(CO)(adamantyl),None,Gd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.1
298,2c,,4,t-butyl,(CH2)(CO)(adamantyl),None,Dy(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,4.8
299,2c,,4,t-butyl,(CH2)(CO)(adamantyl),None,Er(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,4.9
300,2c,,4,t-butyl,(CH2)(CO)(adamantyl),None,Yb(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,4.6
301,2d,,4,t-butyl,(CH2)(CO)(Phenyl),None,La(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.3
302,2d,,4,t-butyl,(CH2)(CO)(Phenyl),None,Ce(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.6
303,2d,,4,t-butyl,(CH2)(CO)(Phenyl),None,Pr(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,4.1
304,2d,,4,t-butyl,(CH2)(CO)(Phenyl),None,Nd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,6.6
305,2d,,4,t-butyl,(CH2)(CO)(Phenyl),None,Sm(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,8.2
306,2d,,4,t-butyl,(CH2)(CO)(Phenyl),None,Eu(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,8.5
307,2d,,4,t-butyl,(CH2)(CO)(Phenyl),None,Gd(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.2
308,2d,,4,t-butyl,(CH2)(CO)(Phenyl),None,Dy(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,5.6
309,2d,,4,t-butyl,(CH2)(CO)(Phenyl),None,Er(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,7.1
310,2d,,4,t-butyl,(CH2)(CO)(Phenyl),None,Yb(III),0.00025,0.00025,"Picrate, dichloromethane, H2O",None,None,8.1
