Number,Extractant,Extractant Name,Phenyl Rings,Upper Rim,Lower Rim,Methylene Bridge,Extracted Name,Extractant Conc,Extracted Conc,Spectator Ions,Chemical Groups,Acid Molarity,Extraction Efficiency
80,4c,,None,None,None,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,95
81,4c,,None,None,None,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
82,4c,,None,None,None,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
83,4c,,None,None,None,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
84,4c,,None,None,None,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,97
85,4d,,None,None,None,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
86,4d,,None,None,None,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,95
87,4d,,None,None,None,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
88,4d,,None,None,None,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
89,4d,,None,None,None,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
90,4d,,None,None,None,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
91,4d,,None,None,None,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
92,4e,,None,None,None,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
93,4e,,None,None,None,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
94,4e,,None,None,None,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,87
95,4e,,None,None,None,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
96,4e,,None,None,None,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
97,4e,,None,None,None,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,None
