Model,Mean Error,Median Error,Error Std Dev,RMSE,Error-Value Correlation,Error Trend Slope,Under-prediction Rate,Over-prediction Rate
XGBoost,0.2669754563976331,0.5045483589172362,16.38715386019587,16.38932846495094,-0.48438023213221915,-0.25269273568458134,44.37299035369775,55.62700964630225
Random Forest,-0.299231939978566,0.5343999999999953,17.492078156141122,17.49463740620116,-0.627921492996203,-0.34966291408285627,43.08681672025724,56.91318327974276
Histogram GBM,0.23618374440359083,0.08234159876759861,18.24151855164602,18.243047492981166,-0.547234407929573,-0.3177877852605965,48.55305466237942,51.446945337620576
Extra Trees,0.2703911859068533,0.3380725732600771,18.98573074613551,18.987656078573032,-0.5172773929233043,-0.3126465428181564,45.659163987138264,54.340836012861736
Gradient Boost,0.016378416421303242,2.7794701783019065,19.742438833446002,19.74244562724895,-0.5835584828960735,-0.3667650994954347,37.942122186495176,62.057877813504824
AdaBoost,1.792780859585563,3.0761194029850696,21.948557549080597,22.021653927346126,-0.8100928934400149,-0.5660354365790718,36.97749196141479,63.022508038585215
Decision Tree,-0.40855305466237946,0.0,22.26665708004902,22.270404871015952,-0.39893761787440024,-0.28278920415614317,41.157556270096464,46.30225080385852
