Model,Mean MAE,MAE Std,Mean R²,R² Std
XGBoost,0.1029,0.0125,0.7311,0.0621
Random Forest,0.1146,0.0197,0.6901,0.0647
Extra Trees,0.1166,0.0186,0.6361,0.0791
Gradient Boost,0.1237,0.0169,0.5936,0.1436
Decision Tree,0.1247,0.0139,0.4827,0.1271
Histogram GBM,0.1271,0.0125,0.661,0.0296
AdaBoost,0.1722,0.0211,0.4995,0.0714
Random Baseline,0.3130524721391136,0.02909525927420716,-0.6688071665227213,0.11550212101072824
