Target_Efficiency,Predicted_Efficiency,Optimization_Error,Model,Phenyl Rings,Upper Rim,Lower Rim,Methylene Bridge,Extracted Name,Extractant Conc,Extracted Conc,ion NO3(2-),ions dichloromethane,ions picarate,Chemical Groups,Acid Molarity
100,95.00918388366699,0.04990816116333008,XGBoost,5.779929547417151,3.234634631037215,4.35630206577202,0.8240900320805853,0.02558262048413862,0.23993537827152,0.0007206966087865129,0.5425980455909113,0.1497803669357638,0.26214247037598415,5.784389187999048,0.8435701738162296
98,104.86857891082764,0.06868578910827638,XGBoost,4.6875085569331265,3.966711488872456,6.966307572413531,2.92339542698371,1.3026721245765476,0.0335989170925005,0.00015068362778439463,0.8876079339002882,0.6964391733088026,0.41070310004611477,3.565999879712768,0.9621796866828438
96,95.90786099433899,0.0009213900566100719,XGBoost,5.933383012390353,0.4929051251908484,2.4443255729410795,2.3204757874967203,17.646471664477243,0.04267827894990803,0.0007723023699450114,0.21937145942407987,0.2400034597579659,0.16483440512348357,3.55843499452053,0.06450366126914586
94,98.28417301177979,0.042841730117797905,XGBoost,1.3046206904815842,5.616636147316779,3.9523522449945574,2.1625535179748683,18.124690844867345,0.23659224260878517,0.0022929120781607533,0.7298201162863478,0.55909735954841,0.18810032979310887,0.6982100620200418,1.2685380049659731
92,80.39781451225281,0.11602185487747196,XGBoost,4.316427290550987,1.0615299274467385,11.145265708832124,2.6667248264642516,1.8389020209871694,0.04006471819645349,0.00022224910284590092,0.8355867584718446,0.33067237479412603,0.30710604086964144,3.591231649150401,0.7578395261170103
90,92.20588207244873,0.022058820724487282,XGBoost,3.0397407404522117,5.607043377183713,2.020594522728392,1.0537249585353823,5.247441270442506,0.12642674812934648,0.0007917614251325128,0.738728923479173,0.4130305365858874,0.5131846968438794,5.686121186185467,1.4590373004868629
88,85.55651903152466,0.024434809684753422,XGBoost,1.342018835021246,3.9398970402042304,1.099061277441329,1.5459061901930973,4.185082106960602,0.2335691366497144,0.0006985318746791359,0.7005254840202666,0.4239377758732923,0.8352484285542775,3.1601963102539297,0.3328861639823677
86,82.77016878128052,0.03229831218719481,XGBoost,5.66995811815141,3.731589251278569,9.626271105701589,0.8159015915958239,2.6806680047285805,0.14203554036948265,0.0015277232800674384,0.21131012579586517,0.3501141125195796,0.17687992646290251,2.6615913842724375,0.9233891324766119
84,86.00435853004456,0.020043585300445588,XGBoost,3.2369605056231396,3.8562391499052646,12.005368879072869,2.2048833673182733,7.978020540482666,0.06687052364501368,0.0013872043355745128,0.39990363131608253,0.4940246792082278,0.1832378792218543,5.5619900754936005,0.2692811562971602
82,79.94976043701172,0.020502395629882764,XGBoost,2.3264424949718236,6.994208485551031,5.404863858922513,2.8545652952197758,12.987411316893327,0.24152902646966573,0.0015078445164291893,0.9129594814370962,0.1847631005886632,0.8767714577022785,2.2916868146439233,1.254989774541194
80,82.60852694511414,0.026085269451141313,XGBoost,2.040159704343629,2.700855906642922,11.912604430465567,2.5615616646173036,20.60052958818866,0.13434892850301497,0.0013297186828105172,0.1319038586282757,0.20899635813812245,0.16079741094350797,6.682929835752396,0.78256606597118
100,99.82343366066806,0.0017656633933194055,Gradient Boost,4.194691057466535,5.10740303025332,0.9262151232651319,1.4831297582391287,18.925680496466207,0.15226367219924278,0.0020371561731799903,0.46858247401418796,0.16314464462317024,0.22608913605958914,0.4680237427832026,1.4533908122452024
98,91.81924283190673,0.06180757168093265,Gradient Boost,5.708348526505908,0.6515289174815728,5.221721625379878,0.13046885897177252,20.052578690895718,0.013588544289855852,0.000476460365432967,0.6249958508391292,0.7975330085465678,0.3897621654133737,5.1064919706928755,1.207971432807508
96,76.83644515345989,0.1916355484654011,Gradient Boost,3.120535653574788,3.309624382675297,3.045625097692457,2.4283422732813422,13.80736143023718,0.11887204538300121,0.0008332847056804803,0.686594711173352,0.1181823646530269,0.9466107268175299,4.477554511631503,0.4411785296165709
94,91.55799822811049,0.024420017718895015,Gradient Boost,0.6757851839864875,3.2760045171241505,6.589168336854825,2.4883898167119383,21.958893536335143,0.07147270385652042,0.0009672868101547426,0.4426843513657901,0.018951515758202975,0.25125793379668726,5.886106081503619,0.27933718692842513
92,74.974079624026,0.17025920375974002,Gradient Boost,0.8366195619035748,2.9470603705201617,11.12886309316618,0.5885648281189921,3.8086754111921133,0.06939055944970356,0.0017362203249529412,0.7781914984230542,0.1873466671181876,0.1325584473500807,1.1736562527668881,0.27894662086574584
90,86.23981922735234,0.03760180772647659,Gradient Boost,2.027692673914302,2.4619383500245733,2.938670091896426,0.4065976608567584,11.489640670106962,0.12279699268167583,0.0006778400951882163,0.45292961483040173,0.056343022284407795,0.20967686507227634,5.939548372566994,1.5791046855244673
88,84.51352855795786,0.034864714420421494,Gradient Boost,1.9149879629916169,3.9425037942528927,10.317188310525095,1.8878264167211585,20.03348234266812,0.020313815887060584,0.0017988806903165616,0.7981003335875807,0.6355794419658933,0.4045086945916191,0.20564756047640687,0.8149594392298487
86,82.39876778542933,0.03601232214570671,Gradient Boost,0.5598998690144399,1.9492191804730266,2.998358472354918,0.8019635933495749,6.373259560325969,0.022114861676284372,0.00028392189526635294,0.25774170219528336,0.44063803463800966,0.49627841993967625,4.635050833041866,1.6861423762792755
84,84.73084210643124,0.007308421064312398,Gradient Boost,2.3060250587071858,3.676084847227905,4.6862457753665545,1.210644560336624,13.858868223132818,0.21116550433137743,0.002246646360988399,0.8198468727310902,0.12330714335106185,0.33858203386695573,4.446998932624441,0.11056878794958158
